policy_name,policy_url,policy_year,policy_objective,policy_target,policy_target_text,policy_type,policy_type_justification,policy_integration,policy_sectors_list,policy_circularity,policy_lifecycle_phases_list,policy_budget,policy_budget_text,policy_score,instrument_type,instrument_lifecycle_stage,instrument_description,instrument_in_force,instrument_implementation,instrument_implementation_text,instrument_score,comments
"Solid Waste Management Act, 2068 (2011)",https://faolex.fao.org/docs/pdf/nep137767.pdf,2011,"To provide Nepal's primary legal framework for systematic and effective management of household, industrial, chemical, health-care and other hazardous solid waste (which includes plastic waste) from source to final disposal, in order to protect public health and the environment, and to define the responsibilities of local bodies, the private sector and waste generators; supplemented by the Solid Waste Management Rules, 2070 (2013).",0,,1,"""Solid Waste Management Act, 2068 (2011)"" - an Act enacted by the Legislature-Parliament of Nepal; primary legislation, not an executive regulation (the accompanying Solid Waste Management Rules, 2070 (2013) are the subordinate regulation implementing it).",1,"waste management, municipalities, industry, health, chemicals, households, private sector",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"Solid Waste Management Rules, 2070 (2013), Rule 4(2)(d): waste generators are directed ""to pay the prescribed service charge at the specified time"" - local bodies may levy waste-service tariffs to fund SWM operations, but no dedicated national fund is created.",0.8125,1.0,Recycling,"S.6: ""The local body shall prescribe to separate the solid waste into at least organic and inorganic including different kinds at its source""; the liability for transporting segregated waste to the collection centre lies with the waste generator (individual, organisation or body).",1,0.5,"Authority: local body designated to prescribe and enforce segregation (+0.25). Monitoring: Rule 3(3) requires local bodies to ""conduct programs for increasing people's awareness"" in relation to source segregation (+0.25). Enforcement: no explicit fine/penalty for individual non-segregation identified in the reviewed text. Unconditional: hazardous/chemical waste is carved out for separate treatment (0).",0.75,"Secondary sources (UNDP 2020; Doko Recyclers 2026) note source segregation is practiced in only ~25% of municipalities despite the mandatory language, indicating an implementation gap not reflected in the formal in-force test."
"Solid Waste Management Act, 2068 (2011)",https://faolex.fao.org/docs/pdf/nep137767.pdf,2011,"To provide Nepal's primary legal framework for systematic and effective management of household, industrial, chemical, health-care and other hazardous solid waste (which includes plastic waste) from source to final disposal, in order to protect public health and the environment, and to define the responsibilities of local bodies, the private sector and waste generators; supplemented by the Solid Waste Management Rules, 2070 (2013).",0,,1,"""Solid Waste Management Act, 2068 (2011)"" - an Act enacted by the Legislature-Parliament of Nepal; primary legislation, not an executive regulation (the accompanying Solid Waste Management Rules, 2070 (2013) are the subordinate regulation implementing it).",1,"waste management, municipalities, industry, health, chemicals, households, private sector",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"Solid Waste Management Rules, 2070 (2013), Rule 4(2)(d): waste generators are directed ""to pay the prescribed service charge at the specified time"" - local bodies may levy waste-service tariffs to fund SWM operations, but no dedicated national fund is created.",0.8125,0.4,Waste management,"Chapter 4: ""The concerned local body may issue a license to a private company for collection, transportation and disposal of solid waste, use, reuse, recycled use or processing of solid waste, and enhancement of public awareness in the reduction of solid waste.""",1,0.25,"Authority: local body empowered to license private operators (+0.25). No explicit monitoring, enforcement or unconditional guarantee specified in the licensing provision itself.",0.325,"Although worded as an enabling power (""may issue a license""), this has been widely exercised in practice (e.g., Hetauda Sub-Metropolitan, Biratnagar Metropolitan, Lalitpur Metropolitan City PPP arrangements), so coded in force per Rule 12's operationalisation test."
"Solid Waste Management Act, 2068 (2011)",https://faolex.fao.org/docs/pdf/nep137767.pdf,2011,"To provide Nepal's primary legal framework for systematic and effective management of household, industrial, chemical, health-care and other hazardous solid waste (which includes plastic waste) from source to final disposal, in order to protect public health and the environment, and to define the responsibilities of local bodies, the private sector and waste generators; supplemented by the Solid Waste Management Rules, 2070 (2013).",0,,1,"""Solid Waste Management Act, 2068 (2011)"" - an Act enacted by the Legislature-Parliament of Nepal; primary legislation, not an executive regulation (the accompanying Solid Waste Management Rules, 2070 (2013) are the subordinate regulation implementing it).",1,"waste management, municipalities, industry, health, chemicals, households, private sector",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"Solid Waste Management Rules, 2070 (2013), Rule 4(2)(d): waste generators are directed ""to pay the prescribed service charge at the specified time"" - local bodies may levy waste-service tariffs to fund SWM operations, but no dedicated national fund is created.",0.8125,0.8,Waste management,"Local bodies are mandated to construct and operate solid-waste facilities (transfer stations, landfills/sanitary landfill sites, processing plants) and to organise waste at collection centres and transfer stations.",1,0.25,Authority: local bodies explicitly designated as responsible (+0.25). No monitoring or enforcement mechanism specified for facility construction obligations themselves; unconditional not met given widely reported funding and land-availability gaps.,0.525,"Real-world implementation is weak: only 7 of 97 surveyed landfill sites had leachate/treatment infrastructure (Central Bureau of Statistics 2020 survey, cited in SWITCH-Asia 2025 country profile), and CREASION (2023) reports local governments ""lack sufficient budget"" and land for sanitary landfill construction."
"Local Government Operation Act, 2074 (2018)",https://faolex.fao.org/docs/pdf/nep187145.pdf,2018,"To operationalise the federal constitutional structure at the local level by specifying the functions, powers and law-making authority of municipalities and rural municipalities, including sanitation, waste collection, recycling, disposal and tariff regulation, and by encouraging municipal partnerships with the private and non-governmental sector for waste and sanitation services.",0,,1,Act enacted by the Federal Parliament of Nepal operationalising local-government authority under the 2015 Constitution; primary legislation.,0.75,"waste management, municipalities, sanitation, private sector, non-governmental organisations",0.75,"consumption, recycling, disposal",0.5,Municipalities are empowered to regulate and collect waste-management tariffs; local governments may also request additional SWM budget from provincial/federal government (no single ring-fenced fund is created by this Act).,0.75,0.4,Waste management,"Assigns municipalities/rural municipalities key sanitation responsibilities: promoting sanitation awareness, managing waste collection, recycling and disposal, and regulating waste-service tariffs; encourages partnerships with private and non-governmental entities.",1,0.5,"Authority: local government bodies explicitly designated (+0.25). Unconditional: the mandate is stated as a general, unqualified local function with no exemptions identified (+0.25). No specific enforcement or monitoring mechanism is attached to this provision itself.",0.45,Coded per Rule 11: this is a planning/enforcement-responsibility-assignment instrument imposed on sub-national authorities.
"Local Government Operation Act, 2074 (2018)",https://faolex.fao.org/docs/pdf/nep187145.pdf,2018,"To operationalise the federal constitutional structure at the local level by specifying the functions, powers and law-making authority of municipalities and rural municipalities, including sanitation, waste collection, recycling, disposal and tariff regulation, and by encouraging municipal partnerships with the private and non-governmental sector for waste and sanitation services.",0,,1,Act enacted by the Federal Parliament of Nepal operationalising local-government authority under the 2015 Constitution; primary legislation.,0.75,"waste management, municipalities, sanitation, private sector, non-governmental organisations",0.75,"consumption, recycling, disposal",0.5,Municipalities are empowered to regulate and collect waste-management tariffs; local governments may also request additional SWM budget from provincial/federal government (no single ring-fenced fund is created by this Act).,0.75,0.4,Waste management,"Constrains local law-making: local by-laws/policies on waste and sanitation ""shouldn't encroach upon exclusive powers of Federal and Province Level,"" must ""avoid duplication with the federal and provincial laws,"" and must ""remain consistent with federal law"" and ""national policy or priorities.""",1,0.25,Authority: consistency requirement is a binding legal constraint on local governments (+0.25). No explicit monitoring or enforcement mechanism evidenced for this specific constraint.,0.325,"Coded per Rule 11 as a multi-level governance coordination instrument governing the vertical relationship between federal, provincial and local waste/sanitation rule-making."
"Federal, Provincial and Local Level (Coordination and Interrelation) Act, 2077 (2020)",https://files.creasion.org/uploads/2026/02/152b6798.pdf,2020,"To establish coordination and cooperation mechanisms between the federal, provincial and local levels of government, define the exclusive and concurrent lists of powers (including local sanitation, public health and waste-related regulation), and create national and provincial coordination councils.",0,,1,Act enacted by the Federal Parliament of Nepal; primary legislation.,0.5,"waste management, sanitation, environment, municipalities",0.5,"consumption, disposal",0,,0.5,0.4,Waste management,"Establishes a National Coordination Council and Provincial Coordination Councils responsible for coordination and collaboration between the three tiers of government, including on matters within the concurrent list (which covers local sanitation/public-health regulation, encompassing solid and plastic waste).",1,0.25,"Authority: the councils are formally established with defined functions (+0.25). No monitoring, enforcement or unconditional guarantee specifically evidenced for the coordination function itself.",0.325,Textbook example of the multi-level governance coordination instrument introduced in v2 of this coding prompt (Rule 11) - a national-provincial-municipal coordination framework.
"Federal, Provincial and Local Level (Coordination and Interrelation) Act, 2077 (2020)",https://files.creasion.org/uploads/2026/02/152b6798.pdf,2020,"To establish coordination and cooperation mechanisms between the federal, provincial and local levels of government, define the exclusive and concurrent lists of powers (including local sanitation, public health and waste-related regulation), and create national and provincial coordination councils.",0,,1,Act enacted by the Federal Parliament of Nepal; primary legislation.,0.5,"waste management, sanitation, environment, municipalities",0.5,"consumption, disposal",0,,0.5,0.4,Consumption,"Concurrent-list clause 6: ""The regulation and awareness at the local level regarding the quality of service delivery and public health, including consumption, public service delivery at the local level will be from the local level or against the local law.""",1,0.25,Authority: local-level regulatory competence over consumption-related public health/service-delivery matters is explicitly assigned (+0.25). No further sub-scores evidenced.,0.325,
"Inter-Governmental Fiscal Transfer Act, 2074 (2017)",https://files.creasion.org/uploads/2026/02/152b6798.pdf,2017,"To regulate the transfer of fiscal resources (revenue-sharing, and special, complementary and conditional grants) between the federal, provincial and local levels of government, including financing mechanisms that fund solid-waste-management infrastructure (e.g., landfills and transfer stations) and to regulate local taxing powers, including on waste transportation.",0,,1,Act enacted by the Federal Parliament of Nepal; primary legislation.,0.5,"waste management, municipalities, public finance",0.5,"recycling, disposal",1,"""National Natural Resources and Fiscal Commission (NNRFC) to suggest on the allocation for SWM from the corpus of 'special' or 'complementary' or 'conditional' [grants] based on the requirements received from MoFAGA; and availability of fund at MoF""; s.19: ""The Local Level may levy tax by making a law on matters falling within its jurisdiction..."" - a dedicated intergovernmental grant corpus plus a self-generated local-tax mechanism for solid-waste financing.",0.75,0.6,Waste management,"Conditional/special/complementary intergovernmental grant mechanism through which the Ministry of Finance, on NNRFC recommendation, disburses funds to provinces and local governments for SWM infrastructure projects (e.g., transfer stations, landfills) - e.g., construction of the Banchare Danda landfill site financed via the Ministry of Urban Development and handed over to Kathmandu Metropolitan City.",1,0.5,"Authority: NNRFC/MoF/MoFAGA roles in the disbursement process are explicitly defined (+0.25). Monitoring: process includes ""financial sanctions, monitoring and evaluation"" of fund transfers (+0.25). No enforcement penalty or unconditional guarantee evidenced.",0.55,
"Inter-Governmental Fiscal Transfer Act, 2074 (2017)",https://files.creasion.org/uploads/2026/02/152b6798.pdf,2017,"To regulate the transfer of fiscal resources (revenue-sharing, and special, complementary and conditional grants) between the federal, provincial and local levels of government, including financing mechanisms that fund solid-waste-management infrastructure (e.g., landfills and transfer stations) and to regulate local taxing powers, including on waste transportation.",0,,1,Act enacted by the Federal Parliament of Nepal; primary legislation.,0.5,"waste management, municipalities, public finance",0.5,"recycling, disposal",1,"""National Natural Resources and Fiscal Commission (NNRFC) to suggest on the allocation for SWM from the corpus of 'special' or 'complementary' or 'conditional' [grants] based on the requirements received from MoFAGA; and availability of fund at MoF""; s.19: ""The Local Level may levy tax by making a law on matters falling within its jurisdiction..."" - a dedicated intergovernmental grant corpus plus a self-generated local-tax mechanism for solid-waste financing.",0.75,0.6,Disposal,"S.19: local levels ""may levy tax by making a law on matters falling within its jurisdiction""; in practice this underpins local waste-transport levies (colloquially ""kabadi tax"") of roughly NRS 0.5-1.5/kg charged at multiple points along the recyclables value chain.",1,0.25,"Authority: local levying power explicitly granted (+0.25). Unconditional: not met - rates and application points vary widely and are reported to be applied ""at around four different points,"" discouraging recyclers/collectors (0). No dedicated monitoring/enforcement mechanism evidenced for the tax itself.",0.425,"CREASION (2023) explicitly flags this uncoordinated, multi-point local taxation as a barrier to plastic recycling economics - included per the Plastics Relevance Filter criterion (c) as a waste-management/governance instrument commonly applying to plastic waste streams."
"National Environmental Policy, 2019",https://dpnet.org.np/resource-detail/1817,2019,"To set Nepal's overarching environmental policy direction, including reducing the environmental and health impacts of plastic waste, promoting alternatives to single-use plastics, strengthening waste segregation/recycling infrastructure, and encouraging circular-economy principles and stricter enforcement of plastic production/disposal regulation.",0.5,"""[The policy] highlights the detrimental impact of plastic on ecosystems and human health, promoting a comprehensive approach to reduce environmental pollution... The importance of reducing plastic use is encouraged via the adoption of alternatives to single-use plastics."" (paraphrased in SWITCH-Asia's 2025 country profile; no numeric percentage/threshold target identified in the sources reviewed).",0.25,"A national policy approved by the Government of Nepal (Cabinet-level) setting aspirational strategic direction; no quantifiable, plastic-specific target was identified in the sources reviewed, and it is not an Act or a regulation/decree.",0.5,"waste management, industry, consumption, recycling",0.75,"consumption, recycling, disposal, environmental leakage",0,,0.375,0.2,Consumption,"Public-awareness/behaviour-change strategy encouraging adoption of alternatives to single-use plastics and ""increased public awareness and education on the negative effects of plastic waste... to foster behavioural changes in consumption patterns.""",0,0,"No specific responsible authority, enforcement mechanism, monitoring requirement or unconditional guarantee is evidenced in the (paraphrased) policy text reviewed; framed as a general aspiration (""encouraged,"" ""endorsed"") rather than a mandatory measure.",0.0,"Coded as not in force because the language reviewed (via secondary summary) is consistently aspirational (""encouraged,"" ""suggests,"" ""calling for"") with no ""shall""/""must"" formulation identified - flagged as uncertain (Rule 8) since the primary Nepali-language text was not independently reviewed."
"National Environmental Policy, 2019",https://dpnet.org.np/resource-detail/1817,2019,"To set Nepal's overarching environmental policy direction, including reducing the environmental and health impacts of plastic waste, promoting alternatives to single-use plastics, strengthening waste segregation/recycling infrastructure, and encouraging circular-economy principles and stricter enforcement of plastic production/disposal regulation.",0.5,"""[The policy] highlights the detrimental impact of plastic on ecosystems and human health, promoting a comprehensive approach to reduce environmental pollution... The importance of reducing plastic use is encouraged via the adoption of alternatives to single-use plastics."" (paraphrased in SWITCH-Asia's 2025 country profile; no numeric percentage/threshold target identified in the sources reviewed).",0.25,"A national policy approved by the Government of Nepal (Cabinet-level) setting aspirational strategic direction; no quantifiable, plastic-specific target was identified in the sources reviewed, and it is not an Act or a regulation/decree.",0.5,"waste management, industry, consumption, recycling",0.75,"consumption, recycling, disposal, environmental leakage",0,,0.375,0.4,Recycling,"Strategy to enhance waste-management systems, including segregating and recycling plastic waste, developing recycling infrastructure, and promoting circular-economy principles; also ""suggests implementing stricter regulations and enforcement mechanisms to control plastic production and disposal.""",0,0,"No specific authority, monitoring, enforcement or unconditional guarantee evidenced; phrased as a forward-looking suggestion rather than a binding obligation.",0.0,Consistent with the policy_type=0.25 coding (aspirational strategy without concrete/enforceable targets).
"The Sixteenth Plan (National Five-Year Development Plan, Fiscal Year 2024/25-2028/29)",https://www.switch-asia.eu/site/assets/files/4512/plastic_policies_np.pdf,2024,"To set Nepal's national socio-economic development priorities for FY2024/25-2028/29, including - within its environmental-sustainability chapter(s) - directions on sustainable waste management, restricting open burning/river-dumping of waste, taxing landfilled waste, regulating plastic products, and strengthening pollution monitoring and enforcement of environmental standards.",0.5,"""...there is mention of imposing restrictions on burning and disposing of waste in rivers and forests, and implementing taxes on waste dumped in landfills""; ""Implementing scientific and transparent standards for the extraction and use of natural resources, including the regulation of plastic products to reduce environmental impact, is suggested."" (paraphrased secondary summary; primary planning-document tables/annexes with any numeric plastics target were not independently verified).",0.25,"A five-year development plan produced by the National Planning Commission and approved by the Government of Nepal - a strategic planning document, not an Act or regulation. No confirmed numeric, plastic-specific target was identified in the sources reviewed, so this is coded 0.25 rather than 0.50.",0.5,"waste management, environment, industry, natural resources",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"""...implementing taxes on waste dumped in landfills"" - a proposed revenue-generating mechanism, not confirmed as an operative, ring-fenced fund within the Plan text reviewed.",0.5,0.6,Disposal,"Proposed tax on waste dumped in landfills, framed as part of the Plan's waste management strategy to ""minimise environmental harm"" and support reduce-reuse-recycle with private-sector participation.",0,0,"Framed prospectively (""there is mention of imposing... implementing taxes"") rather than as an already-operative levy; no authority, enforcement or monitoring mechanism specified within the Plan text itself.",0.0,Coded not-in-force (Rule 12): this reads as a planned/aspirational direction for the plan period rather than a self-executing mandatory tax.
"The Sixteenth Plan (National Five-Year Development Plan, Fiscal Year 2024/25-2028/29)",https://www.switch-asia.eu/site/assets/files/4512/plastic_policies_np.pdf,2024,"To set Nepal's national socio-economic development priorities for FY2024/25-2028/29, including - within its environmental-sustainability chapter(s) - directions on sustainable waste management, restricting open burning/river-dumping of waste, taxing landfilled waste, regulating plastic products, and strengthening pollution monitoring and enforcement of environmental standards.",0.5,"""...there is mention of imposing restrictions on burning and disposing of waste in rivers and forests, and implementing taxes on waste dumped in landfills""; ""Implementing scientific and transparent standards for the extraction and use of natural resources, including the regulation of plastic products to reduce environmental impact, is suggested."" (paraphrased secondary summary; primary planning-document tables/annexes with any numeric plastics target were not independently verified).",0.25,"A five-year development plan produced by the National Planning Commission and approved by the Government of Nepal - a strategic planning document, not an Act or regulation. No confirmed numeric, plastic-specific target was identified in the sources reviewed, so this is coded 0.25 rather than 0.50.",0.5,"waste management, environment, industry, natural resources",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"""...implementing taxes on waste dumped in landfills"" - a proposed revenue-generating mechanism, not confirmed as an operative, ring-fenced fund within the Plan text reviewed.",0.5,1.0,Waste management,Planned restriction on open burning of waste and disposal of waste in rivers and forests.,0,0,"""There is mention of imposing restrictions"" - prospective/aspirational framing; no identified authority, enforcement or monitoring mechanism within the Plan text itself (distinct from municipal by-laws or the Environment Protection Act, which are coded separately).",0.0,
"The Sixteenth Plan (National Five-Year Development Plan, Fiscal Year 2024/25-2028/29)",https://www.switch-asia.eu/site/assets/files/4512/plastic_policies_np.pdf,2024,"To set Nepal's national socio-economic development priorities for FY2024/25-2028/29, including - within its environmental-sustainability chapter(s) - directions on sustainable waste management, restricting open burning/river-dumping of waste, taxing landfilled waste, regulating plastic products, and strengthening pollution monitoring and enforcement of environmental standards.",0.5,"""...there is mention of imposing restrictions on burning and disposing of waste in rivers and forests, and implementing taxes on waste dumped in landfills""; ""Implementing scientific and transparent standards for the extraction and use of natural resources, including the regulation of plastic products to reduce environmental impact, is suggested."" (paraphrased secondary summary; primary planning-document tables/annexes with any numeric plastics target were not independently verified).",0.25,"A five-year development plan produced by the National Planning Commission and approved by the Government of Nepal - a strategic planning document, not an Act or regulation. No confirmed numeric, plastic-specific target was identified in the sources reviewed, so this is coded 0.25 rather than 0.50.",0.5,"waste management, environment, industry, natural resources",0.75,"consumption, recycling, disposal, environmental leakage",0.5,"""...implementing taxes on waste dumped in landfills"" - a proposed revenue-generating mechanism, not confirmed as an operative, ring-fenced fund within the Plan text reviewed.",0.5,1.0,Production,"Proposed ""scientific and transparent standards for the extraction and use of natural resources, including the regulation of plastic products to reduce environmental impact.""",0,0,"Framed as a suggestion for the plan period (""is suggested"") rather than an operative standard; no authority, enforcement or monitoring evidenced within the Plan text itself.",0.0,"Uncertain (Rule 8): the primary Nepali-language Plan document (with chapter/table citations) was not independently reviewed; this row relies on a secondary English paraphrase (SWITCH-Asia, 2025) and should be re-verified against the original text if available."
Notice of Khumbu Pasang Lhamu Rural Municipality Banning Single-Use Plastics (Everest/Solukhumbu region),https://myrepublica.nagariknetwork.com/news/everest-region-to-ban-plastic-items-below-30-microns-from-2020,2019,"To ban plastic items thinner than 30 microns and all plastic beverage bottles within Khumbu Pasang Lhamu Rural Municipality (the Everest/Solukhumbu trekking and mountaineering region), in order to reduce the volume of plastic waste left behind by the large seasonal influx of tourists, trekkers and mountaineers.",1,"""The executive council of Khumbu Pasang Lhamu Rural Municipality... has decided to ban plastic items of less than 30 microns thickness... All types of plastic bags, bottles and items not meeting the given standard will be banned here.""",0.75,"Executive decision of the Khumbu Pasang Lhamu Rural Municipality's executive council (a local-government executive body), published as a public notice - not national legislation. IMPORTANT CAVEAT: this is a sub-national/municipal instrument, included here only because it appears to correspond to an item referenced in the source material provided; it falls outside the national-policy scope that the 4P Index is designed to capture, and its policy-level fields (A-O) should be treated with lower confidence than the national-level policies above.",0.5,"tourism, retail, consumption, hospitality",0.5,"consumption, environmental leakage",0,,0.4375,1.0,Consumption,"Ban on plastic items thinner than 30 microns and on plastic beverage bottles (e.g., Coke, Fanta, Sprite) within the rural municipality, effective 1 January 2020; metal-can beverages remain permitted; households given reusable bags as a substitute.",1,0.5,"Authority: rural municipality executive council designated (+0.25). Unconditional: framed as a blanket ban on the covered product categories (+0.25). Enforcement: explicitly absent at the time of the announcement - ""no penalty had been agreed on for people violating the rule yet"" (BBC, 2019; The Hindu, 2019) (0). Monitoring: none specified beyond coordination with trekking companies/airlines (0).",0.75,"Best-effort identification (Rule 8): this may correspond to a row in the source spreadsheet referencing a single-use-plastics ban in Himalayan tea-house/lodge areas, but the image legibility did not allow certain confirmation of policy name, URL or exact article text, so this row was instead built from independently verified news reporting."
Notice of Khumbu Pasang Lhamu Rural Municipality Banning Single-Use Plastics (Everest/Solukhumbu region),https://myrepublica.nagariknetwork.com/news/everest-region-to-ban-plastic-items-below-30-microns-from-2020,2019,"To ban plastic items thinner than 30 microns and all plastic beverage bottles within Khumbu Pasang Lhamu Rural Municipality (the Everest/Solukhumbu trekking and mountaineering region), in order to reduce the volume of plastic waste left behind by the large seasonal influx of tourists, trekkers and mountaineers.",1,"""The executive council of Khumbu Pasang Lhamu Rural Municipality... has decided to ban plastic items of less than 30 microns thickness... All types of plastic bags, bottles and items not meeting the given standard will be banned here.""",0.75,"Executive decision of the Khumbu Pasang Lhamu Rural Municipality's executive council (a local-government executive body), published as a public notice - not national legislation. IMPORTANT CAVEAT: this is a sub-national/municipal instrument, included here only because it appears to correspond to an item referenced in the source material provided; it falls outside the national-policy scope that the 4P Index is designed to capture, and its policy-level fields (A-O) should be treated with lower confidence than the national-level policies above.",0.5,"tourism, retail, consumption, hospitality",0.5,"consumption, environmental leakage",0,,0.4375,0.4,Waste management,"Coordination arrangement between the rural municipality, trekking companies, airlines and the Nepal Mountaineering Association to enforce the ban and raise visitor awareness.",1,0.25,"Authority: municipality plus named private/sectoral partners identified (+0.25). No monitoring, enforcement or unconditional guarantee evidenced.",0.325,"Multi-stakeholder (public-private, not strictly intergovernmental) coordination instrument, included by analogy to Rule 11."
